Wojewodztwo;Liczba osiedlonych rodzin repatriantów;Liczba doros³ych  repatriantów;Liczba cz³onków rodziny rep niepolskiego pochodzenia osiedlaj¹cych siê na KSP;Liczba dzieci (do 18 roku ¿ycia);liczba_osiedlonych_ogolem
1;2;3;4;5;6
dolnoslaskie;44;64;0;14;78
kujawsko-pomorskie;1;2;0;1;3
lubelskie;4;7;0;1;8
lubuskie;5;5;0;0;5
lodzkie;11;21;0;8;29
malopolskie;14;16;0;6;22
mazowieckie;141;253;7;87;347
opolskie;4;7;0;2;9
podkarpackie;0;0;0;0;0
podlaskie;2;3;0;0;3
pomorskie;4;8;1;5;14
slaskie;18;33;1;13;47
swietokrzyskie;2;4;0;1;5
warminsko-mazurskie;0;0;0;0;0
wielkopolskie;20;132;0;45;177
zachodniopomorskie;5;10;0;8;18
RAZEM;275;565;9;191;765
