Wojewodztwo;Rok;Jednostka_miary;Produkcja_ciepla_ogolem;Produkcja ciepla: elektrownie i elektrociepˆownie zawodowe (ˆ¥cznie z kotˆami ciepˆowniczymi przedsi©biorstw energetyki zawodowej);Produkcja ciepˆa: elektrociepˆownie przemysˆowe og¢ˆem;Produkcja ciepˆa: elektrociepˆownie przemysˆowe, w tym komercyjne;Produkcja ciepˆa: ciepˆownie zawodowe (ciepˆownie przedsi©biorstw produkcyjno-dystrybucyjnych);Produkcja ciepˆa: ciepˆownie niezawodowe og¢ˆem;Produkcja ciepˆa: ciepˆownie niezawodowe nale¾¥ce do du¾ych przedsi©biorstw;Produkcja ciepˆa: ciepˆownie niezawodowe nale¾¥ce do du¾ych przedsi©biorstw, w tym komercyjne
Ogolem;2015;TJ;474604.30;189064.10;114947.10;13568.40;64429.40;106163.70;69446.40;3986.90
Ogolem;2016;TJ;492478.90;206453.00;108812.20;14898.20;65129.90;112083.80;74172.70;4574.40
Ogolem;2017;TJ;507334.90;210840.90;113674.50;17844.00;65084.60;117734.90;78494.30;4223.40
dolnoslaskie;2015;TJ;29416.10;16491.70;2722.20;1041.30;3560.30;6641.90;3868.00;406.30
dolnoslaskie;2016;TJ;31954.80;18134.90;3166.70;1244.50;4086.80;6566.40;3696.30;199.00
dolnoslaskie;2017;TJ;31298.50;17233.50;3175.60;1143.90;4183.50;6705.90;3799.80;205.90
kujawsko-pomorskie;2015;TJ;45827.00;8374.90;26757.90;461.30;4866.20;5828.00;4095.00;314.90
kujawsko-pomorskie;2016;TJ;38653.70;8752.80;19005.10;702.40;4885.20;6010.60;4096.80;359.40
kujawsko-pomorskie;2017;TJ;39657.40;9195.50;19150.60;765.20;5017.80;6293.50;4400.10;316.90
lubelskie;2015;TJ;24988.10;6477.30;11052.30;839.70;3023.10;4435.40;2611.50;166.70
lubelskie;2016;TJ;26588.80;7019.40;11880.60;899.60;3226.80;4462.00;2595.80;177.60
lubelskie;2017;TJ;26871.30;7496.40;11614.90;919.10;3285.50;4474.50;2707.90;186.80
lubuskie;2015;TJ;12365.60;#;#;#;374.50;6906.60;5058.10;23.70
lubuskie;2016;TJ;14675.30;#;#;#;380.90;8839.00;7855.20;#
lubuskie;2017;TJ;16363.00;#;#;#;387.50;10632.60;9824.20;#
lodzkie;2015;TJ;24518.20;14493.90;#;#;4454.90;#;3671.90;622.40
lodzkie;2016;TJ;26322.30;15594.50;#;#;4766.20;#;3752.70;649.00
lodzkie;2017;TJ;27980.00;16513.50;#;#;5053.10;#;3950.30;647.60
malopolskie;2015;TJ;26800.70;10694.20;6285.30;806.10;4343.40;5477.80;3583.60;58.40
malopolskie;2016;TJ;26590.90;12254.70;5987.30;910.80;2665.60;5683.30;3742.60;364.30
malopolskie;2017;TJ;29211.20;12880.70;7177.40;1788.40;2782.70;6370.40;4109.10;395.80
mazowieckie;2015;TJ;102205.80;45605.30;29726.60;4547.60;7500.00;19373.90;11373.50;563.50
mazowieckie;2016;TJ;103608.80;46578.20;29260.10;4683.00;7121.90;20648.60;11798.30;778.30
mazowieckie;2017;TJ;108073.80;47881.60;32489.70;6018.70;6929.20;20773.30;11570.60;669.90
opolskie;2015;TJ;15625.40;3538.60;7669.80;604.50;1681.10;2735.90;2209.70;36.40
opolskie;2016;TJ;15461.00;4198.60;7068.00;621.70;1423.10;2771.30;2204.30;53.60
opolskie;2017;TJ;16278.20;4357.50;7342.10;658.30;1433.80;3144.80;2548.40;58.20
podkarpackie;2015;TJ;13175.90;4538.10;646.90;191.80;2051.30;5939.60;4072.90;412.50
podkarpackie;2016;TJ;13752.20;4628.80;719.40;234.50;1971.30;6432.70;4161.20;527.40
podkarpackie;2017;TJ;14615.20;4779.70;1095.40;205.60;2246.50;6493.60;4020.80;343.60
podlaskie;2015;TJ;8280.00;#;#;#;2373.20;4847.40;4381.20;161.30
podlaskie;2016;TJ;8533.40;#;#;214.60;2267.80;4972.40;4524.30;160.60
podlaskie;2017;TJ;8843.60;#;#;347.60;2295.10;5096.30;4468.20;109.50
pomorskie;2015;TJ;34617.00;12009.80;13758.20;579.50;4412.20;4436.80;2820.60;114.20
pomorskie;2016;TJ;36079.70;12774.60;13830.10;627.40;4848.80;4626.20;2889.70;135.90
pomorskie;2017;TJ;36284.20;13239.80;13432.50;663.70;5054.60;4557.30;2747.50;146.50
slaskie;2015;TJ;61404.10;41817.00;2465.40;129.10;9040.80;8080.90;5006.60;292.20
slaskie;2016;TJ;66768.10;47235.10;2471.50;136.00;8840.70;8220.80;5206.10;296.30
slaskie;2017;TJ;66837.20;48224.40;2611.20;139.90;7203.50;8798.10;5602.20;298.50
swietokrzyskie;2015;TJ;9959.00;4114.80;#;#;2767.70;#;1325.00;90.50
swietokrzyskie;2016;TJ;9997.70;4240.80;#;#;2993.30;#;1475.00;87.20
swietokrzyskie;2017;TJ;9818.20;4434.80;0.00;0.00;3017.30;2366.10;1404.30;103.70
warminsko-mazurskie;2015;TJ;14161.00;#;#;#;4677.30;5083.30;3650.00;221.30
warminsko-mazurskie;2016;TJ;15363.40;#;#;#;3965.70;5625.30;3925.60;205.70
warminsko-mazurskie;2017;TJ;15958.90;#;#;#;4048.00;6481.90;4183.20;208.00
wielkopolskie;2015;TJ;30936.60;10738.20;2900.50;127.90;4254.80;13043.10;7850.30;489.40
wielkopolskie;2016;TJ;36523.60;13860.10;4078.60;250.40;5214.20;13370.70;8096.00;546.60
wielkopolskie;2017;TJ;37594.00;13749.10;4607.90;959.90;5291.90;13945.10;9067.20;497.60
zachodniopomorskie;2015;TJ;20323.80;#;#;2566.80;5048.60;5025.40;3868.50;13.20
zachodniopomorskie;2016;TJ;21605.20;#;#;2591.10;6471.60;5410.50;4152.80;#
zachodniopomorskie;2017;TJ;21650.20;#;#;2687.30;6854.60;5459.60;4090.50;#
